Person_ID,Height_cm,Foot_Size_cm,Weight_kg,Age,Gender,Shoe_Size_US,BMI
204,204,30.0,123,28,M,13.5,29.6
205,148,22.0,49,30,F,5.0,22.4
206,151,22.4,53,27,F,5.5,23.2
207,154,22.9,57,25,F,6.0,24.0
208,157,23.4,61,28,F,6.0,24.8
209,160,23.9,65,26,F,7.0,25.4
210,163,24.4,69,29,F,7.0,26.0
211,166,24.8,73,27,F,7.5,26.5
212,169,25.2,77,25,F,8.0,27.0
213,172,25.6,81,28,F,8.5,27.4
214,175,26.0,85,26,F,9.0,27.8
215,178,26.4,89,24,F,9.5,28.1
216,181,26.8,93,27,F,9.5,28.4
217,184,27.2,97,29,F,10.0,28.6
218,187,27.6,101,26,F,10.5,28.9
219,190,28.0,105,28,F,11.0,29.1
220,193,28.4,109,25,F,11.5,29.3
221,196,28.8,113,27,F,12.0,29.4
222,199,29.2,117,29,F,12.5,29.6
223,202,29.6,121,26,F,13.0,29.7
224,147,21.7,48,28,M,5.0,22.2
225,150,22.2,52,25,M,5.5,23.1
226,153,22.7,56,27,M,5.5,23.9
227,156,23.2,60,29,M,6.0,24.7
228,159,23.7,64,26,M,6.5,25.3
229,162,24.2,68,28,M,7.0,25.9
230,165,24.7,72,25,M,7.5,26.4
231,168,25.2,76,27,M,8.0,26.9
232,171,25.6,80,29,M,8.5,27.4
233,174,26.0,84,26,M,8.5,27.7
234,177,26.4,88,28,M,9.0,28.1
235,180,26.8,92,25,M,9.5,28.4
236,183,27.2,96,27,M,10.0,28.7
237,186,27.6,100,29,M,10.5,28.9
238,189,28.0,104,26,M,11.0,29.1
239,192,28.4,108,28,M,11.5,29.3
240,195,28.8,112,25,M,12.0,29.5
241,198,29.2,116,27,M,12.5,29.6
242,201,29.6,120,29,M,13.0,29.7
243,204,30.0,124,26,M,13.5,29.8
244,148,22.0,49,30,F,5.0,22.4
245,151,22.4,53,27,F,5.5,23.2
246,154,22.9,57,25,F,6.0,24.0
247,157,23.4,61,28,F,6.0,24.8
248,160,23.9,65,26,F,7.0,25.4
249,163,24.4,69,29,F,7.0,26.0
250,166,24.8,73,27,F,7.5,26.5
251,169,25.2,77,25,F,8.0,27.0
252,172,25.6,81,28,F,8.5,27.4
253,175,26.0,85,26,F,9.0,27.8
254,178,26.4,89,24,F,9.5,28.1
255,181,26.8,93,27,F,9.5,28.4
256,184,27.2,97,29,F,10.0,28.6
257,187,27.6,101,26,F,10.5,28.9
258,190,28.0,105,28,F,11.0,29.1
259,193,28.4,109,25,F,11.5,29.3
260,196,28.8,113,27,F,12.0,29.4
261,199,29.2,117,29,F,12.5,29.6
262,202,29.6,121,26,F,13.0,29.7
263,149,22.1,50,29,M,5.0,22.5
264,152,22.6,54,26,M,5.5,23.4
265,155,23.1,58,28,M,6.0,24.1
266,158,23.6,62,25,M,6.5,24.8
267,161,24.1,66,27,M,7.0,25.5
268,164,24.6,70,29,M,7.0,26.0
269,167,25.1,74,24,M,7.5,26.5
270,170,25.6,78,26,M,8.5,27.0
271,173,26.0,82,28,M,8.5,27.4
272,176,26.4,86,25,M,9.0,27.8
273,179,26.8,90,27,M,9.5,28.1
274,182,27.2,94,29,M,10.0,28.4
275,185,27.6,98,26,M,10.5,28.6
276,188,28.0,102,28,M,11.0,28.9
277,191,28.4,106,25,M,11.5,29.1
278,194,28.8,110,27,M,11.5,29.2
279,197,29.2,114,29,M,12.0,29.4
280,200,29.6,118,26,M,12.5,29.5
281,203,30.0,122,28,M,13.0,29.6
282,149,22.0,50,30,F,5.0,22.5
283,153,22.6,55,27,F,5.5,23.5
284,156,23.1,59,25,F,6.0,24.2
285,159,23.6,63,28,F,6.5,24.9
286,162,24.1,67,26,F,7.0,25.5
287,165,24.6,71,29,F,7.5,26.1
288,168,25.1,75,27,F,8.0,26.6
289,171,25.5,79,25,F,8.5,27.0
290,174,25.9,83,28,F,8.5,27.4
291,177,26.3,87,26,F,9.0,27.8
292,180,26.7,91,24,F,9.5,28.1
293,183,27.1,95,27,F,10.0,28.4
294,186,27.5,99,29,F,10.5,28.6
295,189,27.9,103,26,F,11.0,28.8
296,192,28.3,107,28,F,11.5,29.0
297,195,28.7,111,25,F,12.0,29.2
298,198,29.1,115,27,F,12.5,29.3
299,201,29.5,119,29,F,13.0,29.5
300,204,29.9,123,26,F,13.5,29.6
301,150,22.3,52,28,M,5.5,23.1
302,154,22.8,57,26,M,6.0,24.0
303,157,23.3,61,29,M,6.0,24.8
304,160,23.8,65,27,M,7.0,25.4
305,163,24.3,69,25,M,7.0,26.0
306,166,24.8,73,28,M,7.5,26.5
307,169,25.2,77,26,M,8.0,27.0
308,172,25.6,81,29,M,8.5,27.4
309,175,26.0,85,27,M,9.0,27.8
310,178,26.4,89,25,M,9.5,28.1
311,181,26.8,93,28,M,9.5,28.4
312,184,27.2,97,26,M,10.0,28.6
313,187,27.6,101,29,M,10.5,28.9
314,190,28.0,105,27,M,11.0,29.1
315,193,28.4,109,25,M,11.5,29.3
316,196,28.8,113,28,M,12.0,29.4
317,199,29.2,117,26,M,12.5,29.6
318,202,29.6,121,29,M,13.0,29.7
319,205,30.0,125,27,M,13.5,29.8
320,148,21.9,49,30,F,5.0,22.4
321,152,22.6,54,27,F,5.5,23.4
322,155,23.1,58,25,F,6.0,24.1
323,158,23.6,62,28,F,6.5,24.8
324,161,24.1,66,26,F,7.0,25.5
325,164,24.6,70,29,F,7.0,26.0
326,167,25.1,74,27,F,7.5,26.5
327,170,25.6,78,25,F,8.5,27.0
328,173,26.0,82,28,F,8.5,27.4
329,176,26.4,86,26,F,9.0,27.8
330,179,26.8,90,24,F,9.5,28.1
331,182,27.2,94,27,F,10.0,28.4
332,185,27.6,98,29,F,10.5,28.6
333,188,28.0,102,26,F,11.0,28.9
334,191,28.4,106,28,F,11.5,29.1
335,194,28.8,110,25,F,11.5,29.2
336,197,29.2,114,27,F,12.0,29.4
337,200,29.6,118,29,F,12.5,29.5
338,203,30.0,122,26,F,13.0,29.6
339,149,22.1,51,29,M,5.0,23.0
340,153,22.7,56,26,M,5.5,23.9
341,156,23.2,60,28,M,6.0,24.7
342,159,23.7,64,25,M,6.5,25.3
343,162,24.2,68,27,M,7.0,25.9
344,165,24.7,72,29,M,7.5,26.4
345,168,25.2,76,24,M,8.0,26.9
346,171,25.6,80,26,M,8.5,27.4
347,174,26.0,84,28,M,8.5,27.7
348,177,26.4,88,25,M,9.0,28.1
349,180,26.8,92,27,M,9.5,28.4
350,183,27.2,96,29,M,10.0,28.7
351,186,27.6,100,26,M,10.5,28.9
352,189,28.0,104,28,M,11.0,29.1
353,192,28.4,108,25,M,11.5,29.3
354,195,28.8,112,27,M,12.0,29.5
355,198,29.2,116,29,M,12.5,29.6
356,201,29.6,120,26,M,13.0,29.7
357,204,30.0,124,28,M,13.5,29.8
358,148,22.0,50,30,F,5.0,22.8
359,152,22.5,54,27,F,5.5,23.4
360,155,23.0,58,25,F,6.0,24.1
361,158,23.5,62,28,F,6.5,24.8
362,161,24.0,66,26,F,7.0,25.5
363,164,24.5,70,29,F,7.0,26.0
364,167,25.0,74,27,F,7.5,26.5
365,170,25.5,78,25,F,8.5,27.0
366,173,25.9,82,28,F,8.5,27.4
367,176,26.3,86,26,F,9.0,27.8
368,179,26.7,90,24,F,9.5,28.1
369,182,27.1,94,27,F,10.0,28.4
370,185,27.5,98,29,F,10.5,28.6
371,188,27.9,102,26,F,11.0,28.9
372,191,28.3,106,28,F,11.5,29.1
373,194,28.7,110,25,F,11.5,29.2
374,197,29.1,114,27,F,12.0,29.4
375,200,29.5,118,29,F,12.5,29.5
376,203,29.9,122,26,F,13.0,29.6
377,150,22.2,52,28,M,5.5,23.1
378,153,22.7,56,26,M,5.5,23.9
379,156,23.2,60,29,M,6.0,24.7
380,159,23.7,64,27,M,6.5,25.3
381,162,24.2,68,25,M,7.0,25.9
382,165,24.7,72,28,M,7.5,26.4
383,168,25.2,76,26,M,8.0,26.9
384,171,25.6,80,29,M,8.5,27.4
385,174,26.0,84,27,M,8.5,27.7
386,177,26.4,88,25,M,9.0,28.1
387,180,26.8,92,28,M,9.5,28.4
388,183,27.2,96,26,M,10.0,28.7
389,186,27.6,100,29,M,10.5,28.9
390,189,28.0,104,27,M,11.0,29.1
391,192,28.4,108,25,M,11.5,29.3
392,195,28.8,112,28,M,12.0,29.5
393,198,29.2,116,26,M,12.5,29.6
394,201,29.6,120,29,M,13.0,29.7
395,204,30.0,124,27,M,13.5,29.8
396,147,21.8,48,30,F,5.0,22.2
397,151,22.4,53,27,F,5.5,23.2
398,154,22.9,57,25,F,6.0,24.0
399,157,23.4,61,28,F,6.0,24.8
400,160,23.9,65,26,F,7.0,25.4
401,163,24.4,69,29,F,7.0,26.0
402,166,24.8,73,27,F,7.5,26.5
403,169,25.2,77,25,F,8.0,27.0
404,172,25.6,81,28,F,8.5,27.4
405,175,26.0,85,26,F,9.0,27.8
406,178,26.4,89,24,F,9.5,28.1
407,181,26.8,93,27,F,9.5,28.4
408,184,27.2,97,29,F,10.0,28.6
409,187,27.6,101,26,F,10.5,28.9
410,190,28.0,105,28,F,11.0,29.1
411,193,28.4,109,25,F,11.5,29.3
412,196,28.8,113,27,F,12.0,29.4
413,199,29.2,117,29,F,12.5,29.6
414,202,29.6,121,26,F,13.0,29.7
415,149,22.1,50,29,M,5.0,22.5
416,152,22.6,54,26,M,5.5,23.4
417,155,23.1,58,28,M,6.0,24.1
418,158,23.6,62,25,M,6.5,24.8
419,161,24.1,66,27,M,7.0,25.5
420,164,24.6,70,29,M,7.0,26.0
421,167,25.1,74,24,M,7.5,26.5
422,170,25.6,78,26,M,8.5,27.0
423,173,26.0,82,28,M,8.5,27.4
424,176,26.4,86,25,M,9.0,27.8
425,179,26.8,90,27,M,9.5,28.1
426,182,27.2,94,29,M,10.0,28.4
427,185,27.6,98,26,M,10.5,28.6
428,188,28.0,102,28,M,11.0,28.9
429,191,28.4,106,25,M,11.5,29.1
430,194,28.8,110,27,M,11.5,29.2
431,197,29.2,114,29,M,12.0,29.4
432,200,29.6,118,26,M,12.5,29.5
433,203,30.0,122,28,M,13.0,29.6
434,148,22.0,49,30,F,5.0,22.4
435,151,22.4,53,27,F,5.5,23.2
436,154,22.9,57,25,F,6.0,24.0
437,157,23.4,61,28,F,6.0,24.8
438,160,23.9,65,26,F,7.0,25.4
439,163,24.4,69,29,F,7.0,26.0
440,166,24.8,73,27,F,7.5,26.5
441,169,25.2,77,25,F,8.0,27.0
442,172,25.6,81,28,F,8.5,27.4
443,175,26.0,85,26,F,9.0,27.8
444,178,26.4,89,24,F,9.5,28.1
445,181,26.8,93,27,F,9.5,28.4
446,184,27.2,97,29,F,10.0,28.6
447,187,27.6,101,26,F,10.5,28.9
448,190,28.0,105,28,F,11.0,29.1
449,193,28.4,109,25,F,11.5,29.3
450,196,28.8,113,27,F,12.0,29.4
451,199,29.2,117,29,F,12.5,29.6
452,202,29.6,121,26,F,13.0,29.7
453,150,22.3,52,28,M,5.5,23.1
454,153,22.7,56,26,M,5.5,23.9
455,156,23.2,60,29,M,6.0,24.7
456,159,23.7,64,27,M,6.5,25.3
457,162,24.2,68,25,M,7.0,25.9
458,165,24.7,72,28,M,7.5,26.4
459,168,25.2,76,26,M,8.0,26.9
460,171,25.6,80,29,M,8.5,27.4
461,174,26.0,84,27,M,8.5,27.7
462,177,26.4,88,25,M,9.0,28.1
463,180,26.8,92,28,M,9.5,28.4
464,183,27.2,96,26,M,10.0,28.7
465,186,27.6,100,29,M,10.5,28.9
466,189,28.0,104,27,M,11.0,29.1
467,192,28.4,108,25,M,11.5,29.3
468,195,28.8,112,28,M,12.0,29.5
469,198,29.2,116,26,M,12.5,29.6
470,201,29.6,120,29,M,13.0,29.7
471,204,30.0,124,27,M,13.5,29.8
472,147,21.7,48,30,F,5.0,22.2
473,150,22.2,52,27,F,5.5,23.1
474,153,22.7,56,25,F,5.5,23.9
475,156,23.2,60,28,F,6.0,24.7
476,159,23.7,64,26,F,6.5,25.3
477,162,24.2,68,29,F,7.0,25.9
478,165,24.7,72,27,F,7.5,26.4
479,168,25.2,76,25,F,8.0,26.9
480,171,25.6,80,28,F,8.5,27.4
481,174,26.0,84,26,F,8.5,27.7
482,177,26.4,88,24,F,9.0,28.1
483,180,26.8,92,27,F,9.5,28.4
484,183,27.2,96,29,F,10.0,28.7
485,186,27.6,100,26,F,10.5,28.9
486,189,28.0,104,28,F,11.0,29.1
487,192,28.4,108,25,F,11.5,29.3
488,195,28.8,112,27,F,12.0,29.5
489,198,29.2,116,29,F,12.5,29.6
490,201,29.6,120,26,F,13.0,29.7
491,204,30.0,124,28,F,13.5,29.8
492,149,22.1,50,29,M,5.0,22.5
493,152,22.6,54,26,M,5.5,23.4
494,155,23.1,58,28,M,6.0,24.1
495,158,23.6,62,25,M,6.5,24.8
496,161,24.1,66,27,M,7.0,25.5
497,164,24.6,70,29,M,7.0,26.0
498,167,25.1,74,24,M,7.5,26.5
499,170,25.6,78,26,M,8.5,27.0
500,173,26.0,82,28,M,8.5,27.4
501,176,26.4,86,25,M,9.0,27.8
502,179,26.8,90,27,M,9.5,28.1
503,182,27.2,94,29,M,10.0,28.4
504,185,27.6,98,26,M,10.5,28.6
505,188,28.0,102,28,M,11.0,28.9
506,191,28.4,106,25,M,11.5,29.1
507,194,28.8,110,27,M,11.5,29.2
508,197,29.2,114,29,M,12.0,29.4
509,200,29.6,118,26,M,12.5,29.5
510,203,30.0,122,28,M,13.0,29.6
511,148,21.9,49,30,F,5.0,22.4
512,151,22.4,53,27,F,5.5,23.2
513,154,22.9,57,25,F,6.0,24.0
514,157,23.4,61,28,F,6.0,24.8
515,160,23.9,65,26,F,7.0,25.4
516,163,24.4,69,29,F,7.0,26.0
517,166,24.8,73,27,F,7.5,26.5
518,169,25.2,77,25,F,8.0,27.0
519,172,25.6,81,28,F,8.5,27.4
520,175,26.0,85,26,F,9.0,27.8
521,178,26.4,89,24,F,9.5,28.1
522,181,26.8,93,27,F,9.5,28.4
523,184,27.2,97,29,F,10.0,28.6
524,187,27.6,101,26,F,10.5,28.9
525,190,28.0,105,28,F,11.0,29.1
526,193,28.4,109,25,F,11.5,29.3
527,196,28.8,113,27,F,12.0,29.4
528,199,29.2,117,29,F,12.5,29.6
529,202,29.6,121,26,F,13.0,29.7
530,205,30.0,125,28,F,13.5,29.8
